REACTION ID,Classification,Component,,Common_name,Available,Reactant,Dependant_index,C,H,N,S,O,Product,k_constant,E[kj/mol],n,K_old,E_old,n_old,,,
R-62,DIESEL,Dihydromethyl-1H-indene,5-methylindan,5-methylindan,Yes,H2,1,10,6,0,0,0,1,0.0516,33.89,0,0.516,33.89,0,,,
R-63,DIESEL,Tetramethylbenzene,isodurene,isodurene,Yes,H2,1,10,7,0,0,0,1,0.0383,33.89,0,0.383,33.89,0,,,
R-64,DIESEL,Tetramethylbenzene,"1,2,3,4-tetramethylbenzene","1,2,3,4-tetramethylbenzene",Yes,H2,1,10,7,0,0,0,1,0.04,33.89,0,0.4,33.89,0,,,
R-65,DIESEL,Ethylisopropylbenzene,"Benzene, 1-ethyl-2-(1-methylethyl)-",1-ethyl-2-propan-2-ylbenzene,Yes,H2,1,10,7,0,0,0,1,0.0198,33.89,0,0.198,33.89,0,,,
R-66,DIESEL,Dimethylphenol,"2,3-dimethylphenol","2,3-dimethylphenol",Yes,H2,1,8,5,0,0,0.5,1,0.0316,33.89,0,0.316,33.89,0,,,
R-67,DIESEL,Dihydromethyl-1H-indene,1-methylindan,1-methylindan,Yes,H2,1,10,6,0,0,0,1,0.0759,33.89,0,0.759,33.89,0,,,
R-68,DIESEL,Benzoic acid,benzoic acid,benzoic acid,Yes,H2,1,7,3,0,0,1,1,0.0549,33.89,0,0.549,33.89,0,,,
R-69,DIESEL,Dihydromethyl-1H-indene,"1h-indene, 2,3-dihydro-2-methyl-","1h-indene, 2,3-dihydro-2-methyl-",Yes,H2,1,10,6,0,0,0,1,0.3694,33.89,0,3.694,33.89,0,,,
R-70,DIESEL,Methyl-1H-indene,1-methyl-1h-indene,1-methyl-1h-indene,Yes,H2,1,10,5,0,0,0,1,0.0539,33.89,0,0.539,33.89,0,,,
R-71,DIESEL,Tetrahydronaphalene,"1,2,3,4-tetrahydronaphthalene","1,2,3,4-tetrahydronaphthalene",Yes,H2,1,10,6,0,0,0,1,0.0562,33.89,0,0.562,33.89,0,,,
R-72,DIESEL,C4-benzene,,butylbenzene,Yes,H2,1,10,7,0,0,0,1,0.0165,33.89,0,0.165,33.89,0,,,
R-73,DIESEL,Dihydromethyl-1H-indene,4-methylindan,4-methylindan,Yes,H2,1,10,6,0,0,0,1,0.0433,33.89,0,0.433,33.89,0,,,
R-74,DIESEL,Naphthalene,naphthalene,naphthalene,Yes,H2,1,10,4,0,0,0,1,0.0979,33.89,0,0.979,33.89,0,,,
R-75,DIESEL,Isopropylphenol ,4-isopropylphenol,4-isopropylphenol,Yes,H2,1,9,6,0,0,0.5,1,0.0056,33.89,0,0.056,33.89,0,,,
R-76,DIESEL,Benzothiazole,benzothiazole,benzothiazole,Yes,H2,1,14,5,1,2,0,2,0.12,33.89,0,1.2,33.89,0,,,
R-77,DIESEL,Tetrahydroethylnaphthalene,5-methyltetralin,5-methyltetralin,Yes,H2,1,11,7,0,0,0,1,47.264,6.3,-1.089,47.264,6.3,-1.089,,,
R-78,DIESEL,Hexylbenzene,1-phenylhexane,1-phenylhexane,Yes,H2,1,12,9,0,0,0,1,47.815,6.3,-1.089,47.815,6.3,-1.089,,,
R-79,DIESEL,Methylnaphthalene,1-methylnaphthalene,1-methylnaphthalene,Yes,H2,1,11,5,0,0,0,1,125.001,6.3,-1.089,125.001,6.3,-1.089,,,
R-80,DIESEL,Methylnaphthalene,2-methylnaphthalene,2-methylnaphthalene,Yes,H2,1,11,5,0,0,0,1,156.807,6.3,-1.089,156.807,6.3,-1.089,,,
R-81,DIESEL,Trimethylindene,"1,2,3-trimethylindene","1,2,3-trimethylindene",Yes,H2,1,12,7,0,0,0,1,9.307,6.3,-1.089,9.307,6.3,-1.089,,,
R-82,DIESEL,Trimethylindene,"1,2,3-trimethylindene","1,2,3-trimethylindene",Yes,H2,1,12,7,0,0,0,1,95.891,6.3,-1.089,95.891,6.3,-1.089,,,
R-83,DIESEL,Diphenyl,biphenyl,biphenyl,Yes,H2,1,12,5,0,0,0,1,142.201,6.3,-1.089,142.201,6.3,-1.089,,,
R-84,DIESEL,Ethylnaphthalene,1-ethylnaphthalene,1-ethylnaphthalene,Yes,H2,1,12,6,0,0,0,1,97.289,6.3,-1.089,97.289,6.3,-1.089,,,
R-85,DIESEL,Ethylnaphthalene,2-ethylnaphthalene,2-ethylnaphthalene,Yes,H2,1,12,6,0,0,0,1,37.367,6.3,-1.089,37.367,6.3,-1.089,,,
R-86,LFO/DIESEL,Dimethylnaphthalene,"1,8-dimethylnaphthalene","1,8-dimethylnaphthalene",Yes,H2,1,12,6,0,0,0,1,85.169,6.3,-1.089,85.169,6.3,-1.089,,,
R-87,DIESEL,Dimethylnaphthalene,"1,5-dimethylnaphthalene","1,5-dimethylnaphthalene",Yes,H2,1,12,6,0,0,0,1,83.486,6.3,-1.089,83.486,6.3,-1.089,,,
R-88,DIESEL,Dimethylnaphthalene,"2,7-dimethylnaphthalene","2,7-dimethylnaphthalene",Yes,H2,1,12,6,0,0,0,1,119.843,6.3,-1.089,119.843,6.3,-1.089,,,
R-89,DIESEL,Quinaldine,quinaldine,quinaldine,Yes,H2,1,10,4.5,0.5,0,0,1,184.356,6.3,-1.089,184.356,6.3,-1.089,,,
R-90,DIESEL,Tetradecene,1-tetradecene,1-tetradecene,Yes,H2,1,14,14,0,0,0,1,118.294,6.3,-1.089,118.294,6.3,-1.089,,,
R-91,,Acenaphthene,,,No,H2,1,12,5,0,0,0,1,36.147,6.3,-1.089,36.147,6.3,-1.089,,,
R-92,DIESEL,Pentadecane,pentadecane,pentadecane,Yes,H2,1,15,16,0,0,0,1,56.974,6.3,-1.089,56.974,6.3,-1.089,,,
R-93,LFO/DIESEL,Trimethylnaphthalene,"1,2,3-trimethylnaphthalene","1,2,3-trimethylnaphthalene",Yes,H2,1,13,7,0,0,0,1,88.852,6.3,-1.089,88.852,6.3,-1.089,,,
R-94,DIESEL,Trimethylnaphthalene,naphthalene,naphthalene,Yes,H2,1,13,7,0,0,0,1,31.429,6.3,-1.089,31.429,6.3,-1.089,,,
R-95,LFO/DIESEL,Trimethylnaphthalene,"1,2,5-trimethylnaphthalene","1,2,5-trimethylnaphthalene",Yes,H2,1,13,7,0,0,0,1,29.175,6.3,-1.089,29.175,6.3,-1.089,,,
R-96,LFO/DIESEL,Fluorene,fluorene,fluorene,Yes,H2,1,13,5,0,0,0,1,47.77,6.3,-1.089,47.77,6.3,-1.089,,,
R-97,DIESEL,Dimethyldiphenyl,"1,1'-biphenyl, 2,4-dimethyl-","1,1'-biphenyl, 2,4-dimethyl-",Yes,H2,1,14,7,0,0,0,1,60.554,6.3,-1.089,60.554,6.3,-1.089,,,
